pipeline,scene,goal_type,goal_id,trial,success,planning_time_s,wall_time_s,traj_duration_s,error_code
ompl,floor_obstacle,joint,home2,4,False,0.0,0.01909386704210192,nan,99999
ompl,floor_obstacle,joint,home3,4,False,0.0,0.016391898039728403,nan,99999
ompl,floor_obstacle,pose,reach0,4,True,0.023454878000000002,0.034259190084412694,2.916901126,1
ompl,floor_obstacle,pose,reach1,4,False,0.014091267999999999,0.038822732982225716,13.258053144,-2
ompl,floor_obstacle,pose,reach2,4,True,0.02047678,0.03857766999863088,12.345461523,1
ompl,floor_obstacle,pose,reach3,4,True,0.025862321,0.03741695499047637,6.46029728,1
ompl,floor_obstacle,pose,rand00,4,False,0.0,5.020376664004289,nan,99999
ompl,floor_obstacle,pose,rand01,4,True,0.021149446,0.033516386058181524,1.981145444,1
ompl,floor_obstacle,pose,rand02,4,True,0.026318141,0.04373059805948287,11.96201823,1
ompl,floor_obstacle,pose,rand03,4,True,0.034717512,0.2406020590569824,9.343025821,1
ompl,floor_obstacle,pose,rand04,4,True,0.021125076,0.04244424193166196,12.972203563,1
ompl,floor_obstacle,pose,rand05,4,True,0.02181612,0.03553298697806895,4.655584855,1
ompl,floor_obstacle,pose,rand06,4,False,0.0,5.216786567005329,nan,99999
ompl,floor_obstacle,pose,rand07,4,False,0.0,5.026116221910343,nan,99999
ompl,floor_obstacle,pose,rand08,4,True,0.019558739999999998,0.039448378956876695,13.657749439,1
ompl,floor_obstacle,pose,rand09,4,False,0.0,5.0211203610524535,nan,99999
ompl,floor_obstacle,pose,rand10,4,True,0.0334555,0.05606468999758363,15.889761385,1
ompl,floor_obstacle,pose,rand11,4,False,0.0,5.102648630039766,nan,99999
